name,entry,duration,park_id
Aisha Ishikawa,2024-02-09 14:40:30,44,129
Karim Jones,2022-05-29 23:47:48,23,103
Fatima Escobar,2021-06-12 12:29:06,38,134
Vinh Ali,2022-09-05 21:17:27,69,117
Nina Garcia,2023-10-29 04:06:13,9,150
Chen Qureshi,2020-07-07 13:34:09,40,116
Maria Takahashi,2024-10-09 18:38:09,46,103
Karim Davis,2020-12-20 03:20:46,33,158
Darius Hassan,2024-08-08 13:19:21,71,154
Aisha Ahmed,2024-04-19 12:36:31,15,110
Aisha Fujimoto,2020-03-25 18:36:38,62,148
Esteban Hassan,2023-08-31 19:42:28,11,132
Sofia Lam,2021-06-21 09:01:48,6,117
Vinh Ali,2021-07-25 15:53:47,34,154
Amina Nguyen,2023-08-25 10:03:44,13,111
Vinh Fujimoto,2021-01-17 14:37:46,46,155
Sofia Bautista,2023-06-21 14:29:24,55,115
Vinh Vasquez,2020-09-21 18:54:48,66,117
David Chung,2022-10-02 03:26:26,47,141
Binh Yu,2021-01-08 22:39:54,23,105
Hiroshi Ramirez,2021-12-27 00:43:41,50,143
Amina Bautista,2023-08-06 10:32:01,65,110
Binh Zhang,2024-03-08 09:11:08,30,134
Fatima Nguyen,2023-02-27 12:18:28,65,107
Sofia Ishikawa,2024-01-01 07:24:19,32,157
Xia Garcia,2022-10-19 23:00:18,33,115
Omar Lam,2023-06-20 04:59:29,9,139
Ibrahim Escobar,2023-06-28 02:29:29,13,124
Darius Chung,2020-04-24 12:30:39,67,103
Tariq Mendez,2020-09-15 10:47:19,24,111
Nina Wong,2023-09-23 14:20:03,40,156
Raj Zhang,2020-05-16 07:52:25,60,145
Clara Qureshi,2023-12-19 10:48:57,25,127
Priya Zhang,2022-12-30 17:14:34,30,109
Vinh Khan,2022-08-12 02:01:40,42,104
Linh Bautista,2021-07-30 18:04:42,11,115
Yasmin Davis,2022-10-19 13:01:34,46,100
Amina Khan,2020-12-20 05:06:11,13,148
David Davis,2020-04-14 06:24:55,11,102
David Takahashi,2023-03-26 19:59:21,15,126
Aisha Jones,2023-07-26 16:08:39,58,100
Chen Singh,2024-08-02 08:11:48,33,106
David Davis,2024-06-15 11:32:32,21,106
Omar Qureshi,2023-10-03 12:05:11,33,136
Maria Fujimoto,2022-12-27 01:04:08,8,134
Linh Patel,2023-03-30 07:15:35,45,133
Carlos Takahashi,2023-03-01 20:03:18,68,126
Omar Bautista,2022-06-25 07:01:38,12,110
Carlos Vasquez,2023-04-10 20:28:02,67,129
Carlos Yu,2021-09-20 12:23:55,50,106
Carlos Xian,2024-01-02 23:09:29,56,145
Amina Hassan,2024-09-18 03:51:15,31,117
Jin Zhang,2022-12-05 09:03:11,62,140
Clara Xian,2023-03-04 21:52:57,19,155
Maria Zhang,2023-04-24 05:19:52,65,107
Aisha Ahmed,2021-10-30 13:54:04,22,104
Jin Ramirez,2020-05-18 07:59:15,38,105
Carlos Bautista,2024-09-13 00:05:11,63,134
Amina Davis,2023-09-18 08:05:18,56,131
Carlos Mendez,2021-06-08 01:46:39,8,160
David Jones,2023-08-13 16:36:27,64,147
Sofia Escobar,2020-12-09 07:24:08,19,100
Nina Xian,2020-11-07 23:09:27,60,120
Vinh Khan,2020-09-15 02:17:13,8,138
Yasmin Mendez,2022-06-25 17:57:35,63,134
Elena Mendez,2020-06-08 01:38:57,32,137
Clara Ali,2022-10-01 14:33:59,64,116
Priya Singh,2020-05-09 13:19:51,17,149
Omar Ishikawa,2023-04-12 13:33:46,47,122
Maria Xian,2024-04-08 23:24:08,37,146
Chen Davis,2020-06-23 05:10:01,4,132
Sofia Wong,2022-07-04 03:50:54,71,100
Sofia Zhang,2020-03-21 18:45:54,59,111
Binh Garcia,2024-04-19 07:45:31,31,142
